level,gen,Efetivo,Comissionado,Terceirizado,Temporário,total,uf,mes,ano,var
Psicólogos/as,Total,3,31,11,0,45,es,jun,2016,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,es,jun,2016,psico
Psicólogos/as,Total,2,32,22,0,56,es,dez,2017,psico
Médicos/as - psiquiatras,Total,2,0,4,1,7,es,dez,2017,psico
Psicólogos/as,Total,1,29,9,0,39,es,jun,2017,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,es,jun,2017,psico
Psicólogos/as,Total,0,31,40,0,71,es,dez,2018,psico
Médicos/as - psiquiatras,Total,2,0,14,0,16,es,dez,2018,psico
Psicólogos/as,Total,0,30,37,0,67,es,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,8,1,9,es,jun,2018,psico
Psicólogos/as,Total,0,32,34,0,66,es,dez,2019,psico
Médicos/as - psiquiatras,Total,2,0,14,1,17,es,dez,2019,psico
Psicólogos/as,Total,0,27,35,0,62,es,jun,2019,psico
Médicos/as - psiquiatras,Total,2,0,16,0,18,es,jun,2019,psico
Psicólogos/as,Total,0,26,34,0,60,es,dez,2020,psico
Médicos/as - psiquiatras,Total,3,0,18,1,22,es,dez,2020,psico
Psicólogos/as,Total,0,29,34,0,63,es,jun,2020,psico
Médicos/as - psiquiatras,Total,2,0,18,1,21,es,jun,2020,psico
Psicólogos/as,Total,7,0,0,13,20,go,dez,2014,psico
Médicos/as - psiquiatras,Total,2,0,0,1,3,go,dez,2014,psico
Psicólogos/as,Total,2,1,0,15,18,go,jun,2014,psico
Médicos/as - psiquiatras,Total,0,1,0,0,1,go,jun,2014,psico
Psicólogos/as,Total,4,0,1,14,19,go,dez,2015,psico
Médicos/as - psiquiatras,Total,0,0,0,2,2,go,dez,2015,psico
Psicólogos/as,Total,5,0,1,16,22,go,dez,2016,psico
Médicos/as - psiquiatras,Total,1,0,0,4,5,go,dez,2016,psico
Psicólogos/as,Total,4,0,1,14,19,go,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,2,2,go,jun,2016,psico
Psicólogos/as,Total,7,3,2,11,23,go,dez,2017,psico
Médicos/as - psiquiatras,Total,1,0,0,3,4,go,dez,2017,psico
Psicólogos/as,Total,3,0,2,15,20,go,jun,2017,psico
Médicos/as - psiquiatras,Total,1,0,1,1,3,go,jun,2017,psico
Psicólogos/as,Total,10,7,8,8,33,go,dez,2018,psico
Médicos/as - psiquiatras,Total,2,0,0,3,5,go,dez,2018,psico
Psicólogos/as,Total,11,5,4,9,29,go,jun,2018,psico
Médicos/as - psiquiatras,Total,3,0,0,2,5,go,jun,2018,psico
Psicólogos/as,Total,10,8,5,11,34,go,dez,2019,psico
