level,masc,fem,total,uf,mes,ano,var
Óbitos com causa desconhecida,2,0,2,ba,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,ba,jun,2020,suic
Óbitos criminais,30,1,31,ba,jun,2020,suic
Óbitos suicídios,6,0,6,ba,jun,2020,suic
Óbitos acidentais,0,0,0,ba,jun,2020,suic
Óbitos com causa desconhecida,3,0,3,ba,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,ce,dez,2014,suic
Óbitos criminais,24,0,24,ce,dez,2014,suic
Óbitos suicídios,4,0,4,ce,dez,2014,suic
Óbitos acidentais,1,0,1,ce,dez,2014,suic
Óbitos com causa desconhecida,17,0,17,ce,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,ce,jun,2014,suic
Óbitos criminais,0,0,0,ce,jun,2014,suic
Óbitos suicídios,0,0,0,ce,jun,2014,suic
Óbitos acidentais,1,0,1,ce,jun,2014,suic
Óbitos com causa desconhecida,39,1,40,ce,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,ce,dez,2015,suic
Óbitos criminais,43,2,45,ce,dez,2015,suic
Óbitos suicídios,2,0,2,ce,dez,2015,suic
Óbitos acidentais,0,0,0,ce,dez,2015,suic
Óbitos com causa desconhecida,19,0,19,ce,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,ce,dez,2016,suic
Óbitos criminais,6,0,6,ce,dez,2016,suic
Óbitos suicídios,1,0,1,ce,dez,2016,suic
Óbitos acidentais,0,0,0,ce,dez,2016,suic
Óbitos com causa desconhecida,8,0,8,ce,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,ce,jun,2016,suic
Óbitos criminais,26,0,26,ce,jun,2016,suic
Óbitos suicídios,0,0,0,ce,jun,2016,suic
Óbitos acidentais,0,0,0,ce,jun,2016,suic
Óbitos com causa desconhecida,60,0,60,ce,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,ce,dez,2017,suic
Óbitos criminais,16,0,16,ce,dez,2017,suic
Óbitos suicídios,0,0,0,ce,dez,2017,suic
Óbitos acidentais,0,0,0,ce,dez,2017,suic
Óbitos com causa desconhecida,27,0,27,ce,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,ce,jun,2017,suic
Óbitos criminais,29,0,29,ce,jun,2017,suic
Óbitos suicídios,0,0,0,ce,jun,2017,suic
Óbitos acidentais,0,0,0,ce,jun,2017,suic
Óbitos com causa desconhecida,7,0,7,ce,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,ce,dez,2018,suic
Óbitos criminais,10,0,10,ce,dez,2018,suic
Óbitos suicídios,1,0,1,ce,dez,2018,suic
Óbitos acidentais,0,0,0,ce,dez,2018,suic
Óbitos com causa desconhecida,20,0,20,ce,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,ce,jun,2018,suic
Óbitos criminais,22,0,22,ce,jun,2018,suic
Óbitos suicídios,0,0,0,ce,jun,2018,suic
Óbitos acidentais,0,0,0,ce,jun,2018,suic
Óbitos com causa desconhecida,23,0,23,ce,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,14,1,15,ce,dez,2019,suic
Óbitos criminais,1,0,1,ce,dez,2019,suic
Óbitos suicídios,3,1,4,ce,dez,2019,suic
Óbitos acidentais,0,0,0,ce,dez,2019,suic
Óbitos com causa desconhecida,7,0,7,ce,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,12,1,13,ce,jun,2019,suic
Óbitos criminais,1,0,1,ce,jun,2019,suic
Óbitos suicídios,4,0,4,ce,jun,2019,suic
Óbitos acidentais,0,0,0,ce,jun,2019,suic
Óbitos com causa desconhecida,5,0,5,ce,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,10,2,12,ce,dez,2020,suic
Óbitos criminais,0,0,0,ce,dez,2020,suic
Óbitos suicídios,2,0,2,ce,dez,2020,suic
Óbitos acidentais,0,0,0,ce,dez,2020,suic
Óbitos com causa desconhecida,2,0,2,ce,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,16,1,17,ce,jun,2020,suic
Óbitos criminais,0,0,0,ce,jun,2020,suic
Óbitos suicídios,4,0,4,ce,jun,2020,suic
Óbitos acidentais,0,0,0,ce,jun,2020,suic
Óbitos com causa desconhecida,217,12,229,ce,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,df,dez,2014,suic
Óbitos criminais,1,0,1,df,dez,2014,suic
Óbitos suicídios,0,0,0,df,dez,2014,suic
Óbitos acidentais,2,0,2,df,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,df,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,df,jun,2014,suic
Óbitos criminais,9,0,9,df,jun,2014,suic
Óbitos suicídios,0,0,0,df,jun,2014,suic
Óbitos acidentais,2,0,2,df,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,df,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,11,1,12,df,dez,2015,suic
Óbitos criminais,6,0,6,df,dez,2015,suic
Óbitos suicídios,1,0,1,df,dez,2015,suic
Óbitos acidentais,1,0,1,df,dez,2015,suic
Óbitos com causa desconhecida,8,1,9,df,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,2,0,2,df,dez,2016,suic
Óbitos criminais,3,0,3,df,dez,2016,suic
Óbitos suicídios,0,0,0,df,dez,2016,suic
Óbitos acidentais,0,0,0,df,dez,2016,suic
Óbitos com causa desconhecida,7,0,7,df,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,5,1,6,df,jun,2016,suic
Óbitos criminais,4,0,4,df,jun,2016,suic
Óbitos suicídios,2,1,3,df,jun,2016,suic
Óbitos acidentais,0,0,0,df,jun,2016,suic
Óbitos com causa desconhecida,3,0,3,df,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,df,dez,2017,suic
Óbitos criminais,0,0,0,df,dez,2017,suic
Óbitos suicídios,0,0,0,df,dez,2017,suic
Óbitos acidentais,0,0,0,df,dez,2017,suic
Óbitos com causa desconhecida,3,0,3,df,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,13,0,13,df,jun,2017,suic
Óbitos criminais,2,0,2,df,jun,2017,suic
Óbitos suicídios,1,0,1,df,jun,2017,suic
Óbitos acidentais,0,0,0,df,jun,2017,suic
Óbitos com causa desconhecida,9,0,9,df,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,9,0,9,df,dez,2018,suic
Óbitos criminais,3,0,3,df,dez,2018,suic
Óbitos suicídios,0,0,0,df,dez,2018,suic
Óbitos acidentais,0,0,0,df,dez,2018,suic
Óbitos com causa desconhecida,3,0,3,df,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,df,jun,2018,suic
Óbitos criminais,2,0,2,df,jun,2018,suic
Óbitos suicídios,0,0,0,df,jun,2018,suic
Óbitos acidentais,0,0,0,df,jun,2018,suic
Óbitos com causa desconhecida,0,0,0,df,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,13,0,13,df,dez,2019,suic
Óbitos criminais,0,0,0,df,dez,2019,suic
Óbitos suicídios,1,0,1,df,dez,2019,suic
Óbitos acidentais,0,0,0,df,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,df,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,16,1,17,df,jun,2019,suic
Óbitos criminais,1,0,1,df,jun,2019,suic
Óbitos suicídios,0,0,0,df,jun,2019,suic
Óbitos acidentais,1,0,1,df,jun,2019,suic
Óbitos com causa desconhecida,3,0,3,df,jun,2019,suic
